brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
acer,CP513-1H-S338,13.30,Silver,64.00,Snapdragon,8.00,Chrome OS,Backlit Kb,Integrated,,,4.40,424.46
Razer,Blade 16,16.00,Mercury,1000.00,Intel Core i9,32.00,Windows 11,,Dedicated,,,3.80,3611.89
HP,HP ENVY,15.00,Black,1000.00,Ryzen 5,32.00,Windows 11,,Integrated,AMD Radeon Graphics,,4.30,685.00
LG,16T90Q-K.AAG6U1,16.00,Green,512.00,Core i5,16.00,Windows 11 Home,Lightweight,Intel XE,,,4.20,1284.93
HP,Pavilion x360,14.00,Natural Silver,256.00,Core i5,8.00,Windows 10 Home,Backlit Keyboard,Integrated,,,4.50,570.00
HP,HP Laptop 17-cn0025nr,17.30,Natural silver,256.00,Intel Core i5-1135G7,8.00,Windows 11 Home,"Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,4.50,576.99
Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,14.00,Touchscreen,1000.00,Core i7 Family,32.00,Windows 11 Pro,,Integrated,Intel Iris,,5.00,1949.99
LG,16Z90RS-K.ADW8U1,16.00,Dynamic White,1000.00,Intel Core i7,32.00,Windows 11 Home,,Integrated,,5.00,4.30,1757.57
HP,"HP 17.3""",17.30,,1000.00,Core i3,16.00,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.20,557.00
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
MSI,Vector GP77 13VG-096US,17.30,Cosmo Gray,1000.00,Core i9,32.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,,1999.99
MSI,Katana 17 B13VFK-835US,17.30,,,Core i7,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,2.40,,1399.00
Lenovo,Thinkpad T480,14.00,Black,256.00,Core i5,16.00,Windows 10 Pro,Fingerprint Reader,Integrated,,,4.10,219.00
ASUS,ProArt StudioBook 16,16.00,Mineral Black,32.00,Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,2.50,2199.00
ASUS,Zenbook Pro 14 Duo,14.50,Tech Black,1000.00,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.10,2299.99
ASUS,VivoBook 16,16.00,Indie Black,512.00,Ryzen 5,8.00,Windows 11 Home,Fingerprint Sensor,Integrated,,,4.60,561.00
Lenovo,"Lenovo 14"" Laptop",14.00,Gray,256.00,Pentium,4.00,Windows 11,,Integrated,Intel,,4.20,181.99
MSI,Vector GP68HX 13VH-098US,16.00,Cosmo Gray,1000.00,Core i9,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4080,,5.00,2091.05
ASUS,ASUS ZenBook Pro 16,16.00,Tech Black,2 TB,Core i9,32.00,Windows 11 Pro,Fingerprint reader,RTX 3060,,,4.20,2499.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
HP,Chromebook 11a,11.60,Ash Gray,,MediaTek MT8183,4.00,Chrome OS,Anti Glare Coating,Integrated,MediaTek,,4.40,160.00
ASUS,ASUS VivoBook Go 14,14.00,Quiet Blue,64.00,Celeron,4.00,Windows 11 Home S,,Integrated,Intel UHD Graphics,,4.10,231.85
HP,HP Pavilion,14.00,Gold,256.00,Intel Core i5-1135G7,8.00,Windows 11,Fingerprint Reader,Integrated,,,4.50,514.99
